"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Manufacturing, value added (annual % growth)","NV.IND.MANF.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Manufacturing, value added (annual % growth)","NV.IND.MANF.KD.ZG","","","","","","","","","","10.2844491117436","-1.08453717470627","6.53123435294107","5.62302074847325","9.10504162670414","7.37949634383928","-2.72147728650955","-2.62403813229756","-2.08938126712673","-1.46420978105213","2.85472308985474","6.33207771771555","6.34761227343141","-3.05756531141134","0.171800002628203","6.31540559233532","0.936718816115615","2.32458954159824","3.01141271458651","3.63316582715176","0.444947842774084","-4.73355947827415","-8.25645409322765","-8.26313055574796","-2.24773600531614","1.95900267891808","6.30772183489931","2.27699594459934","-0.414426185626155","-1.06191957943288","2.64183893996884","3.8592197247477","1.39347913531738","2.59595952194378","-0.0546944439787893","4.95360766621698","5.38864660427261","5.78152194450634","5.33606686528438","2.47818975980849","-5.38482624499433","6.33747307211046","4.45908187318926","2.72644413193794","2.96664665966905","0.718865786021155","3.60020656689149","3.49370947828342","2.00252531723683","2.37481121631524","1.27063524300431","-6.91348590602495","5.74412059934023","1.76905442208766","1.71454380253849",
"Afghanistan","AFG","Manufacturing, value added (annual % growth)","NV.IND.MANF.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.6978499503667","4.16077272609547","3.27953719586658","3.19460813389807","4.53719172760219","2.34623547964704","5.29629020763029","3.84039142712196","3.05743112676313","6.03590671956967","2.2858621084761","-1.83650260969178","0.409391041716916","1.08793952575421","18.1229690451949","22.9210598962147","6.44963653231957","-3.53701242325106","-10.3054857950086","-9.98239109273659","1.67932409117417",
"Africa Western and Central","AFW","Manufacturing, value added (annual % growth)","NV.IND.MANF.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","-12.0721458839125","-26.0623207792499","-6.23754093740386","5.2967585148085","-7.73033913749489","14.3934835368375","13.381120085688","-13.5454063774394","6.07782772280994","7.7605009651017","10.9472157414476","-16.4449734727302","-10.8996433627419","-11.2095490161945","3.61876945774544","1.96359695292057","-3.26277052772743","2.45563538425706","1.34549629394117","4.03278068164505","15.0083959731351","-7.20014587183452","0.39465754720112","6.65880445444608","1.23865103192023","3.07352579201097","4.06365133643361","3.14048102834994","2.14435651855953","11.7139675242079","9.19394303283345","13.6832466032831","9.60787486400801","0.316652249355258","-0.360786998983443","1.86601316493334","4.1007497938423","3.03921639278903","-1.62776056720867","4.65506614083613","2.88766183663078","1.22998221036046",
"Angola","AGO","Manufacturing, value added (annual % growth)","NV.IND.MANF.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.35167053380847","16.5756019688353","6.12529509374113","6.54832983146905","2.01655631479898","5.91460460307525","6.80000000000001","9.55630941913329","9.08410865398102","9.55983199039945","7.72616136919315","-9.91738538356786","12.0250740733276","11.6374889796506","1.17975083404515","0.57184727376989","-5.05876017612215","2.73421860403043","0.818082912492073","2.46783535308633","1.41152800264072",
"Albania","ALB","Manufacturing, value added (annual % growth)","NV.IND.MANF.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-32.3093020815887","41.3933885961057","12.959295610304","6.93822761562409","5.75758954564718","4.17821276464781","19.3023442516522","6.02125157594224","13.8856437828123","13.0285745937961","12.6544725218422","-5.02913465478542","2.89390854909639","11.5764334268744","10.4709485551955","-15.6572515536269","9.84520836968153","9.37344459625149","4.96158042031307","4.54104020984074","12.4333592507077","6.25848396979653","7.38438441984579","-3.57820145165515","10.0575465220025","6.18252955926638","-6.17548935698345",
"Andorra","AND","Manufacturing, value added (annual % growth)","NV.IND.MANF.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.5691440555774","4.14368357325441","14.3004779744219","9.3128390596745","0.248138957816366","3.55816831683168","0.487999203266611","-0.62438057482656","-4.36820584422061","0.406716028782967","-1.05941005400913","-3.34872979214781","-0.575648962745731","-1.8134149005899","2.24744103248776","4.68988030467901","0.550878287080337","-2.17076700434153","3.81445477599325","-9.74045801526717","17.873252142535","-3.59705347747058","-2.53051503423637",
"Arab World","ARB","Manufacturing, value added (annual % growth)","NV.IND.MANF.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.40953079495678","2.06598123128374","5.0854744594655","4.59927044647273","6.75507551376522","6.3508978130975","9.35104083050047","0.971847246929755","6.89352460693478","4.63289364962812","1.60220875637265","2.74684245974069","5.41765153829223","4.97296996800149","4.0558667854621","3.05454725297336","1.42436427126826","1.03788998684746","-2.76211570080179","6.18443758694325","7.79376159593328","-1.18429222036126",
"United Arab Emirates","ARE","Manufacturing, value added (annual % growth)","NV.IND.MANF.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.89679785358983","4.28761492848734","7.9166200681384","6.57240563685852","7.26056428499338","1.87286423363784","10.2676838119396","-14.0526801925595","2.39153475726658","6.8446912630955","-5.98646862844475","5.98464069401517","2.12150011458601","17.2148513777924","11.9415131653604","3.5235027184832","0.811777945082298","3.97299648818074","2.41710700892457","11.2304958842631","10.200627667352","3.76211891442277",
"Argentina","ARG","Manufacturing, value added (annual % growth)","NV.IND.MANF.KD.ZG","","","","","","","0.873654251140124","5.54294184827187","5.63434681625927","11.5484562712365","-2.57170830552745","6.1659817480087","3.99457905204746","3.96624123836406","5.87410976362975","-2.55277852340838","-3.03373691518306","7.81368671760858","-10.5226225419748","9.94467900952527","2.21732151316381","-12.0708482604792","-2.81521694622234","6.81790126778175","2.4749112884567","-9.44993086635687","10.051277329429","1.07902574001774","-4.8948785684121","-7.48725994779473","-5.40705714363811","10.376165802473","10.1887138772013","3.5310838221374","4.49963606306558","-7.16458660336757","6.45187775090919","9.15143351256194","1.84875601583447","-7.92886731901326","-3.82321832895714","-7.36198740953409","-10.9552207765253","15.9671880038979","11.9760561080591","7.42315923895534","9.09978637282907","7.53396750618644","3.62110044950312","-7.25982438527079","10.9079420676975","7.66660903237162","-2.9133262858836","1.50353167175462","-5.05404738502804","0.765932390755125","-5.60113973937672","2.57407049038565","-4.80492254451184","-6.15655048987678","-7.69645268240133","15.7698867010987","4.62225716575699","-2.10709646572609",
"Armenia","ARM","Manufacturing, value added (annual % growth)","NV.IND.MANF.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.99999673861703","-59.700001424494","8.90000506449012","9.60000077293755","2.59999964634406","1.09961508053233","1.30017893457783","-2.22635743736018","5.40000042408568","6.59999996515594","9.84323867537515","17.249224167135","16.9831518581018","-2.54334397156393","8.83825544240094","-0.461356603231749","1.59481168579414","0.899999993938394","-7.11173499774654","12.0999999843923","13.7000000067702","4.09999999101657","7.69999999999999","5.99999999261082","-5.49999998932577","11.0999999894652","11.8000000021579","11.1999999964367","9.50000000792758","-4.00000000182901","2.60000000123839","12.4999999941971","-1.49999999642368",
"American Samoa","ASM","Manufacturing, value added (annual % growth)","NV.IND.MANF.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Manufacturing, value added (annual % growth)","NV.IND.MANF.KD.ZG","","","","","","","","","","","","","","","","","","","20.2769886363636","15.6185414821376","18.8202247191011","21.8783580485708","0","2.16892964203844","4.02140144977562","3.0031524805044","3.99484536082475","3.9807930607187","2.1152986742142","2.99051787016775","3.0028328611898","-5.5005500550055","-5.99534342258441","-4.984520123839","2.00391006842619","-4.99920140552628","4.03496973772697","5.99547511312217","5.50388778777253","4.4942196531792","2.98713870833909","1.87995165838592","5.32489785158825","1.46414716556124","4.81006413418845","4.87173452577076","12.4214542190305","9.14262900489071","-9.1358024691358","10.6179549114332","-8.81630424893093","2.77389742566353","-13.8446601941748","15.6975433851701","4.52907373137236","3.14945956019382","7.00090334236675","5.00633178556353","8.50619070590126","1.45228215767634","-23.9994157172071","4.96828752642706","-1.31831914309257","0.120604879858988",
"Australia","AUS","Manufacturing, value added (annual % growth)","NV.IND.MANF.KD.ZG","","","","","","","","","","","","","","","","","-1.06727480045609","2.46991839933612","-0.431911997930428","4.11644431390712","4.31065348769081","2.04909506969004","2.4798695341963","-8.2253364232219","1.51832063550552","5.10814099963703","0.635797641657959","2.73704395216228","6.66915527962513","5.75949017368723","-1.17816091954023","-2.20201432763224","-2.96608642375752","2.13564106373497","4.46107131168405","2.123530282064","2.27197191140502","1.51072002933113","3.31877657565957","2.39621817026179","1.2833544122097","2.30972536101429","2.75627105952827","4.17179791738019","1.43610621449956","-0.897185691922573","-0.583126896206196","1.94302512773849","3.98294494871125","-5.21304482756344","0.443045028979043","-0.37381751602075","1.13192573564731","-3.31233866804337","-0.933341876508408","-1.57813038978958","-2.26058004030492","-0.629762438368445","2.18242780997917","-1.01603884638021","-1.92583563130393","1.69688058932307","2.44211436279222","0.159314438689393",
