"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","-1.48255753104678","0.453929961731262","5.84514402349483","-0.232485229580988","0.325407420039497","1.18690715367977","3.79709028268991","1.203992323796","-2.82079900033587","-3.97088632810116","-4.06141393468133","-1.29613484879059","2.01286459765086","1.64832046371805","3.04532220862492","2.07041331771724","-0.0922633330990408","1.76840579124902","5.33040291978917","1.78630207206396","3.85178663648733","1.91080590295837","6.65284583435519","8.09938229394582","7.68066208182583","8.40136993859532","2.94770305946753","-2.47614681209846","6.1203770577293","3.18052923698919","-0.0123578802361948","2.88517048478174","4.20191116355197","3.01004905560185","2.06289639273085","2.55910802343007","2.80191434628894","1.8433166281832","-4.77699578520945","4.43409933160342","2.73059509336689","2.77958093369828",
"Afghanistan","AFG","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.2696928807578","17.4760758595733","12.9917235906394","13.6675434460057","7.63312622043912","5.74181789016215","6.10714113128491","6.27060133814976","9.8076704185067","6.3940710078319","5.06099068169274","2.76578053402486","4.17112134442286","-0.765914428667429","9.20679243694582","11.0746416445024","4.84886805836136","-4.63025314891763","-12.8087400556664","-5.72521962070655","2.61867777133449",
"Africa Western and Central","AFW","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","-8.64798717446735","-13.1963890991216","3.54874244035763","4.28717600396276","-2.85184305782757","2.70417512089607","5.27657183529426","1.31847021733935","13.7624603253278","-2.48913550651785","4.1517643335401","-5.21382714247521","-3.62561720742119","-1.38012575065962","5.17649471263184","2.75469331394265","1.23396303827063","-3.49650932386221","5.04981379415983","4.67540513685607","2.48532769285961","9.04306652567671","2.24054875639762","2.13583993252458","-0.841617797778113","-0.718833293305138","0.187628176898968","2.70524115768094","3.46440400276296","8.2882959981775","3.72833726910858","2.91643016031938","5.19947689216119","-0.765212165229912","-4.88188639404358","3.52966384371274","3.26903034414032","4.40019694257489","-3.19496578052588","0.95403270117589","-0.742140188452538","1.41236715949343",
"Angola","AGO","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.0866424080792001","14.8009544378462","20.4959315130068","13.193350732774","19.7989008658808","9.56677077645377","-3.899999989337","-0.0920533055329997","-2.15553510475898","10.5139875295922","2.96821218361154","-1.56750375119191","8.28481557463465","-0.630334158430017","-3.1873396301667","-6.21294835541003","-3.47800034023365","-10.4615558636219","-8.33801683121339","1.76712331401487","-1.00437148832169",
"Albania","ALB","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-17.4524587387743","17.7460750692314","19.2865124766897","25.4321391333758","20.2435938501869","6.74450887904325","12.7141773112148","7.20217872233124","6.00394619569731","9.20291329507195","4.58274474222738","6.9461474225045","1.86202001364686","3.39983816194058","2.26437554991978","-6.14066215173217","2.71720448128706","-3.31855847062698","2.57202261699526","1.89647552363607","1.79485713219346","9.79416428201854","0.308630165167557","-2.78406663955759","8.85228094461183","8.87206827256625","3.08181783975058",
"Andorra","AND","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.70682948279944","5.55434545850576","11.7770178645127","10.1273834955297","7.10060588643819","5.6705871830419","-2.8037580938677","-5.81281431650447","-9.39139680558445","-12.8647959183673","-9.27481921714435","-11.6589757655942","-7.49926943308007","-1.98633653200648","-0.278001611603543","5.36543978021091","2.86437363395835","8.24573175277716","7.75535505200082","-3.89581335890061","5.74972564929665","-1.22641509433963","14.3935052531041",
"Arab World","ARB","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.05967733726456","-1.88952106405682","3.90728997448777","9.0245925194902","4.6289753384852","6.06339306312793","2.49398273843484","5.48415336031991","-2.42916478531578","5.45479539918632","3.26181910255676","5.01298402937122","-0.0922149599574453","1.11481437936347","3.03852952764585","4.00252948667752","-0.0431529009509717","1.68047424278679","0.150654191690847","-5.76898522050668","2.9806925440752","7.12062678267415","-1.97584382694102",
"United Arab Emirates","ARE","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.69817290503974","7.09153873457208","9.35979229655473","3.82841658458814","13.8193134310363","-2.68203146676764","2.57325814477313","-6.51233839706642","2.46674578889356","7.77982978695992","2.35563430639665","3.01720964131098","1.15423824981826","8.00932937336532","5.02296835095039","-2.89994039052995","3.28401442101112","-0.841637656288583","-2.78991920512964","2.62696115815879","8.3843459895907","0.79919633711576",
"Argentina","ARG","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","1.10973168809214","4.23108006804362","9.4742084109032","11.5461698030809","-0.93025074280439","6.3292660113858","3.12389382410676","0.805741915574856","6.03750326062902","-1.0910075681474","0.555648947286102","8.62908987394545","-8.33489904116936","7.5414052472055","-1.2889504608861","-10.6633342647625","-3.20938122189585","5.37768781572736","0.674286429664491","-8.65101189162193","8.63026418211921","3.35677692623644","-3.5519761838143","-8.5887611394292","-5.32530798648239","10.6874598654654","11.0167529206409","5.47029702567141","6.20635123777579","-3.5514369316778","6.19344587122571","8.37113960852946","1.94610164803552","-6.62248952143577","-2.19535196176197","-5.19148858795911","-11.3563772213886","14.1613607347498","10.8153351886694","6.53438408640605","8.66492235309941","6.03334742709707","3.07204281358982","-6.43334090641412","8.80489749044955","5.83091783894156","-2.20112663055619","0.551194177258154","-3.46203501608358","1.38980831410751","-5.82515874143607","2.3028329031401","-3.04931518944642","-4.7407553055391","-9.28398483969283","15.3831332837258","5.57390861953149","-0.234034084040474",
